"id"	"film_name"	"initial_name"	"country"	"release_year"	"type"	"score"	"evaluate_number"	"role"	"introduction"	"image_src"	"alias"	"language"	"time"	"details_src"	"price"	"create_date"	"create_by"	"update_date"	"update_by"	"is_deleted"	"version"
"1"	"肖申克的救赎"	" The Shawshank Redemption"	" 美国 "	"1994 "	" 犯罪 剧情"	"9.7"	"2818482"	"导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/..."	"希望让人自由"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg"	" / 月黑高飞(港)  /  刺激1995(台)"	"英语"	"142分钟"	"https://movie.douban.com/subject/1292052/"	"34.34"					"0"	
"2"	"霸王别姬"	" 再见，我的妾  "	" 中国大陆 中国香港 "	"1993 "	" 剧情 爱情 同性"	"9.6"	"2084602"	"导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha..."	"风华绝代"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg"	" / 再见，我的妾  /  Farewell My Concubine"	"汉语普通话"	"171分钟/155分钟(美国剧场版)"	"https://movie.douban.com/subject/1291546/"	"34.34"					"0"	
"3"	"阿甘正传"	" Forrest Gump"	" 美国 "	"1994 "	" 剧情 爱情"	"9.5"	"2110567"	"导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/..."	"一部美国近现代史"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg"	" / 福雷斯特·冈普"	"英语"	"142分钟"	"https://movie.douban.com/subject/1292720/"	"34.34"					"0"	
"4"	"泰坦尼克号"	" Titanic"	" 美国 墨西哥 "	"1997 "	" 剧情 爱情 灾难"	"9.5"	"2074461"	"导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo..."	"失去的才是永恒的 "	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889314814.jpg"	" / 铁达尼号(港 / 台)"	"英语/意大利语/德语/俄语"	"194分钟/227分钟(白星版)"	"https://movie.douban.com/subject/1292722/"	"34.34"					"0"	
"5"	"这个杀手不太冷"	" Léon"	" 法国 美国 "	"1994 "	" 剧情 动作 犯罪"	"9.4"	"2245148"	"导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼..."	"怪蜀黍和小萝莉不得不说的故事"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg"	" / 终极追杀令(台)  /  杀手莱昂"	"英语/意大利语/法语"	"110分钟(剧场版)/133分钟(国际版)"	"https://movie.douban.com/subject/1295644/"	"34.34"					"0"	
"6"	"美丽人生"	" La vita è bella"	" 意大利 "	"1997 "	" 剧情 喜剧 爱情 战争"	"9.6"	"1297045"	"导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni..."	"最美的谎言"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg"	" / 一个快乐的传说(港)  /  Life Is Beautiful"	"意大利语/德语/英语"	"116分钟(国际版)/125分钟"	"https://movie.douban.com/subject/1292063/"	"34.34"					"0"	
"7"	"千与千寻"	" 千と千尋の神隠し"	" 日本 "	"2001 "	" 剧情 动画 奇幻"	"9.4"	"2186760"	"导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy..."	"最好的宫崎骏，最好的久石让 "	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg"	" / 神隐少女(台)  /  千与千寻的神隐"	"日语"	"125分钟"	"https://movie.douban.com/subject/1291561/"	"34.34"					"0"	
"8"	"辛德勒的名单"	" Schindler's List"	" 美国 "	"1993 "	" 剧情 历史 战争"	"9.6"	"1080559"	"导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson..."	"拯救一个人，就是拯救整个世界"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg"	" / 舒特拉的名单(港)  /  辛德勒名单"	"英语/希伯来语/德语/波兰语"	"195分钟"	"https://movie.douban.com/subject/1295124/"	"34.34"					"0"	
"9"	"盗梦空间"	" Inception"	" 美国 英国 "	"2010 "	" 剧情 科幻 悬疑 冒险"	"9.4"	"2016221"	"导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le..."	"诺兰给了我们一场无法盗取的梦"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg"	" / 潜行凶间(港)  /  全面启动(台)"	"英语/日语/法语"	"148分钟"	"https://movie.douban.com/subject/3541415/"	"34.34"					"0"	
"10"	"星际穿越"	" Interstellar"	" 美国 英国 加拿大 "	"2014 "	" 剧情 科幻 冒险"	"9.4"	"1779513"	"导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc..."	"爱是一种力量，让我们超越时空感知它的存在"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg"	" / 星际启示录(港)  /  星际效应(台)"	"英语"	"169分钟"	"https://movie.douban.com/subject/1889243/"	"34.34"					"0"	
